interaction_id,student1_id,student2_id,interaction_type,timestamp,duration_minutes,quality_rating,follow_up_needed,topic
INT0001,STU054,STU053,Knowledge Sharing,2025-08-05 12:18:59.381849,38,7.8,True,Feature Engineering
INT0002,STU050,STU052,Meeting,2025-08-16 19:28:59.381982,47,9.3,False,Results Interpretation
INT0003,STU059,STU060,Meeting,2025-08-21 19:46:59.382107,90,6.8,False,Project Planning
INT0004,STU059,STU057,Knowledge Sharing,2025-07-27 19:02:59.382225,45,7.6,False,Code Debugging
INT0005,STU037,STU039,Knowledge Sharing,2025-08-16 09:32:59.382339,102,8.0,True,Documentation
INT0006,STU037,STU030,Conflict Resolution,2025-08-16 13:56:59.382366,94,6.4,False,Feature Engineering
INT0007,STU007,STU006,Code Review,2025-08-05 22:22:59.382485,31,7.3,True,Results Interpretation
INT0008,STU054,STU053,Meeting,2025-07-29 16:12:59.382600,61,7.0,False,Feature Engineering
INT0009,STU063,STU064,Conflict Resolution,2025-07-30 06:39:59.382721,24,7.1,True,Hyperparameter Tuning
INT0010,STU051,STU072,Conflict Resolution,2025-08-21 22:08:59.382737,48,5.8,True,Documentation
INT0011,STU036,STU035,Conflict Resolution,2025-08-20 12:54:59.382847,75,7.0,True,Presentation Prep
INT0012,STU078,STU079,Discussion,2025-08-03 19:10:59.382962,104,7.7,False,Project Planning
INT0013,STU005,STU006,Planning Session,2025-08-21 06:53:59.383071,83,9.2,True,Project Planning
INT0014,STU072,STU071,Meeting,2025-07-26 20:27:59.383186,27,8.4,False,Project Planning
INT0015,STU036,STU005,Conflict Resolution,2025-08-17 19:40:59.383200,45,10.0,False,Model Selection
INT0016,STU048,STU070,Conflict Resolution,2025-08-22 21:51:59.383212,39,5.8,True,Documentation
INT0017,STU025,STU028,Conflict Resolution,2025-08-17 05:18:59.383328,87,8.3,True,Model Selection
INT0018,STU071,STU027,Help Request,2025-07-29 02:47:59.383343,114,7.3,True,Data Preprocessing
INT0019,STU018,STU019,Collaboration,2025-07-30 05:01:59.383457,99,10.0,True,Feature Engineering
INT0020,STU031,STU029,Meeting,2025-08-16 09:00:59.383574,109,5.8,False,Presentation Prep
INT0021,STU012,STU010,Conflict Resolution,2025-08-07 16:02:59.383683,72,5.7,True,Data Preprocessing
INT0022,STU067,STU039,Planning Session,2025-08-04 10:05:59.383697,76,6.1,False,Project Planning
INT0023,STU064,STU061,Discussion,2025-08-13 14:59:59.383810,23,3.8,True,Results Interpretation
INT0024,STU075,STU074,Collaboration,2025-08-09 17:30:59.383918,70,6.2,True,Model Selection
INT0025,STU071,STU028,Knowledge Sharing,2025-08-10 02:42:59.383932,58,5.9,False,Project Planning
INT0026,STU015,STU014,Conflict Resolution,2025-08-03 01:45:59.384043,34,7.2,False,Model Selection
INT0027,STU009,STU010,Discussion,2025-07-31 10:45:59.384157,118,7.5,True,Presentation Prep
INT0028,STU071,STU072,Discussion,2025-08-10 22:13:59.384375,100,9.8,False,Data Preprocessing
INT0029,STU077,STU040,Conflict Resolution,2025-08-20 15:36:59.384399,42,8.4,True,Documentation
INT0030,STU015,STU016,Conflict Resolution,2025-08-21 01:32:59.384545,43,6.1,False,Presentation Prep
INT0031,STU080,STU079,Code Review,2025-08-04 12:15:59.384561,103,5.7,False,Data Preprocessing
INT0032,STU039,STU038,Code Review,2025-08-19 05:32:59.384694,99,7.7,False,Model Selection
INT0033,STU001,STU003,Help Request,2025-08-11 20:39:59.384815,58,5.0,True,Code Debugging
INT0034,STU041,STU044,Meeting,2025-08-18 15:05:59.384937,101,9.7,True,Results Interpretation
INT0035,STU056,STU055,Planning Session,2025-08-11 01:55:59.385058,111,8.8,True,Code Debugging
INT0036,STU040,STU039,Collaboration,2025-08-23 02:43:59.385172,91,6.3,True,Data Preprocessing
INT0037,STU026,STU028,Collaboration,2025-08-14 07:08:59.385282,78,4.4,False,Feature Engineering
INT0038,STU070,STU071,Conflict Resolution,2025-08-21 21:13:59.385399,109,9.0,True,Project Planning
INT0039,STU011,STU012,Knowledge Sharing,2025-08-05 21:23:59.385510,96,6.8,False,Results Interpretation
INT0040,STU003,STU001,Planning Session,2025-07-28 11:10:59.385622,61,8.9,True,Project Planning
INT0041,STU032,STU056,Knowledge Sharing,2025-08-08 07:43:59.385636,54,4.6,False,Hyperparameter Tuning
INT0042,STU021,STU023,Discussion,2025-08-07 17:56:59.385753,114,6.1,False,Code Debugging
INT0043,STU019,STU031,Discussion,2025-08-20 01:56:59.385767,37,7.0,True,Model Selection
INT0044,STU064,STU063,Planning Session,2025-08-02 15:27:59.385886,96,7.1,False,Code Debugging
INT0045,STU012,STU010,Collaboration,2025-07-30 01:31:59.385998,22,6.3,False,Presentation Prep
INT0046,STU060,STU057,Code Review,2025-08-13 01:04:59.386108,97,7.9,True,Presentation Prep
INT0047,STU073,STU074,Help Request,2025-08-13 14:38:59.386218,79,5.4,True,Data Preprocessing
INT0048,STU041,STU043,Meeting,2025-08-23 02:23:59.386334,71,6.8,False,Presentation Prep
INT0049,STU023,STU022,Collaboration,2025-08-11 20:19:59.386444,58,7.2,True,Code Debugging
INT0050,STU016,STU014,Collaboration,2025-07-31 12:10:59.386552,92,7.8,True,Code Debugging
INT0051,STU019,STU018,Knowledge Sharing,2025-08-19 14:23:59.386661,25,8.1,False,Presentation Prep
INT0052,STU042,STU043,Discussion,2025-08-03 12:41:59.386775,80,5.3,False,Data Preprocessing
INT0053,STU022,STU024,Planning Session,2025-08-18 03:00:59.386884,34,4.7,True,Results Interpretation
INT0054,STU013,STU065,Code Review,2025-08-02 23:12:59.386899,113,8.9,True,Project Planning
INT0055,STU022,STU023,Planning Session,2025-08-22 20:45:59.387013,101,7.5,True,Documentation
INT0056,STU058,STU059,Help Request,2025-08-14 18:11:59.387125,39,5.9,False,Documentation
INT0057,STU040,STU039,Knowledge Sharing,2025-07-25 04:16:59.387241,40,9.3,True,Results Interpretation
INT0058,STU063,STU064,Discussion,2025-08-01 17:14:59.387353,30,7.2,False,Model Selection
INT0059,STU035,STU058,Meeting,2025-07-28 21:03:59.387367,43,8.8,False,Code Debugging
INT0060,STU054,STU007,Knowledge Sharing,2025-08-07 22:53:59.387379,64,7.1,True,Code Debugging
INT0061,STU041,STU043,Conflict Resolution,2025-07-30 06:00:59.387492,19,10.0,False,Documentation
INT0062,STU020,STU018,Code Review,2025-07-27 08:07:59.387601,47,9.6,True,Feature Engineering
INT0063,STU080,STU077,Collaboration,2025-08-17 01:01:59.387708,21,6.6,True,Project Planning
INT0064,STU080,STU077,Discussion,2025-07-28 18:30:59.387820,83,8.5,True,Presentation Prep
INT0065,STU019,STU018,Code Review,2025-08-04 22:53:59.387929,88,8.0,False,Feature Engineering
INT0066,STU011,STU009,Code Review,2025-08-11 19:06:59.388038,96,9.1,False,Code Debugging
INT0067,STU003,STU001,Conflict Resolution,2025-08-16 10:26:59.388145,95,5.6,True,Code Debugging
INT0068,STU047,STU048,Meeting,2025-07-28 12:39:59.388258,104,8.0,False,Feature Engineering
INT0069,STU009,STU059,Code Review,2025-08-15 04:06:59.388273,116,8.6,True,Data Preprocessing
INT0070,STU040,STU039,Planning Session,2025-08-16 08:20:59.388384,97,4.4,True,Results Interpretation
INT0071,STU007,STU006,Discussion,2025-07-29 22:41:59.388494,66,5.2,False,Project Planning
INT0072,STU024,STU023,Planning Session,2025-08-12 17:51:59.388601,117,3.9,True,Project Planning
INT0073,STU078,STU079,Collaboration,2025-08-14 07:03:59.388714,56,6.6,False,Results Interpretation
INT0074,STU054,STU055,Planning Session,2025-08-12 20:06:59.388822,108,8.1,False,Project Planning
INT0075,STU005,STU007,Knowledge Sharing,2025-08-12 17:17:59.388928,110,9.3,True,Data Preprocessing
INT0076,STU080,STU077,Meeting,2025-08-22 02:19:59.389041,97,7.1,False,Code Debugging
INT0077,STU073,STU075,Meeting,2025-08-02 19:45:59.389148,62,9.4,False,Model Selection
INT0078,STU067,STU066,Conflict Resolution,2025-08-04 01:53:59.389254,29,4.9,True,Feature Engineering
INT0079,STU049,STU050,Collaboration,2025-08-01 19:55:59.389361,93,4.4,False,Documentation
INT0080,STU017,STU018,Meeting,2025-07-26 11:40:59.389472,26,6.9,False,Code Debugging
INT0081,STU071,STU070,Collaboration,2025-07-27 00:14:59.389486,35,7.6,True,Code Debugging
INT0082,STU014,STU013,Help Request,2025-07-29 19:07:59.389594,61,7.0,False,Documentation
INT0083,STU071,STU017,Discussion,2025-08-22 00:43:59.389608,106,3.9,False,Presentation Prep
INT0084,STU053,STU056,Conflict Resolution,2025-08-04 07:40:59.389717,74,6.9,False,Feature Engineering
INT0085,STU071,STU076,Meeting,2025-07-31 05:41:59.389730,79,5.0,True,Model Selection
INT0086,STU038,STU037,Conflict Resolution,2025-07-25 11:54:59.389842,59,8.0,False,Model Selection
INT0087,STU071,STU069,Collaboration,2025-08-04 17:03:59.389950,79,7.5,True,Feature Engineering
INT0088,STU079,STU080,Code Review,2025-07-29 10:03:59.390059,20,5.6,False,Hyperparameter Tuning
INT0089,STU054,STU080,Code Review,2025-08-08 13:34:59.390072,52,6.2,False,Documentation
INT0090,STU051,STU050,Discussion,2025-08-02 08:58:59.390182,71,5.4,False,Documentation
INT0091,STU042,STU044,Conflict Resolution,2025-07-31 22:43:59.390294,31,6.9,False,Presentation Prep
INT0092,STU042,STU044,Discussion,2025-08-15 19:53:59.390402,33,8.4,True,Data Preprocessing
INT0093,STU052,STU049,Meeting,2025-07-28 23:09:59.390508,88,5.5,False,Hyperparameter Tuning
INT0094,STU064,STU066,Planning Session,2025-08-09 00:37:59.390522,17,7.8,True,Project Planning
INT0095,STU030,STU031,Conflict Resolution,2025-08-23 08:50:59.390636,78,6.2,False,Results Interpretation
INT0096,STU016,STU013,Collaboration,2025-07-31 22:20:59.390746,66,5.8,False,Data Preprocessing
INT0097,STU074,STU076,Collaboration,2025-08-21 21:36:59.390857,72,6.8,False,Model Selection
INT0098,STU016,STU014,Conflict Resolution,2025-08-06 22:20:59.390967,33,5.4,True,Presentation Prep
INT0099,STU005,STU008,Meeting,2025-08-01 23:17:59.391077,75,6.2,False,Feature Engineering
INT0100,STU066,STU068,Conflict Resolution,2025-08-18 21:29:59.391190,109,5.2,False,Code Debugging
INT0101,STU068,STU067,Collaboration,2025-08-09 09:45:59.391302,57,9.9,True,Project Planning
INT0102,STU004,STU002,Help Request,2025-08-01 08:31:59.391410,76,7.1,True,Presentation Prep
INT0103,STU080,STU077,Help Request,2025-08-22 15:24:59.391526,29,6.0,True,Data Preprocessing
INT0104,STU054,STU056,Help Request,2025-08-10 17:19:59.391635,93,7.3,False,Data Preprocessing
INT0105,STU067,STU027,Conflict Resolution,2025-08-02 18:35:59.391650,63,6.8,False,Feature Engineering
INT0106,STU071,STU072,Conflict Resolution,2025-08-02 10:25:59.391762,97,6.7,False,Documentation
INT0107,STU031,STU032,Collaboration,2025-08-17 00:19:59.391871,51,7.9,True,Documentation
INT0108,STU047,STU046,Discussion,2025-08-05 12:34:59.391997,63,8.1,False,Code Debugging
INT0109,STU019,STU038,Code Review,2025-08-14 12:03:59.392010,59,6.2,False,Results Interpretation
INT0110,STU028,STU026,Collaboration,2025-07-25 16:24:59.392022,49,6.1,True,Model Selection
INT0111,STU074,STU073,Code Review,2025-08-02 17:54:59.392134,96,6.6,True,Data Preprocessing
INT0112,STU044,STU041,Meeting,2025-08-23 16:09:59.392244,35,3.5,False,Documentation
INT0113,STU027,STU026,Collaboration,2025-08-04 08:10:59.392353,113,4.7,True,Hyperparameter Tuning
INT0114,STU006,STU008,Meeting,2025-07-26 08:15:59.392466,65,9.1,False,Feature Engineering
INT0115,STU038,STU005,Code Review,2025-08-14 15:30:59.392481,28,9.5,False,Results Interpretation
INT0116,STU072,STU069,Planning Session,2025-08-16 03:17:59.392590,29,6.6,False,Feature Engineering
INT0117,STU033,STU024,Code Review,2025-07-31 23:18:59.392605,52,7.9,True,Feature Engineering
INT0118,STU052,STU051,Conflict Resolution,2025-08-21 21:26:59.392718,27,7.5,True,Feature Engineering
INT0119,STU029,STU030,Knowledge Sharing,2025-08-16 19:20:59.392835,49,10.0,False,Results Interpretation
INT0120,STU073,STU074,Conflict Resolution,2025-08-02 03:05:59.392946,100,8.7,True,Documentation
INT0121,STU051,STU052,Discussion,2025-08-04 00:45:59.393055,93,6.8,True,Hyperparameter Tuning
INT0122,STU062,STU020,Planning Session,2025-07-31 14:45:59.393072,68,5.6,False,Presentation Prep
INT0123,STU028,STU032,Discussion,2025-08-07 19:35:59.393085,105,4.6,False,Model Selection
INT0124,STU015,STU008,Help Request,2025-08-05 16:59:59.393097,36,7.3,False,Presentation Prep
INT0125,STU028,STU025,Planning Session,2025-07-30 08:39:59.393211,31,5.9,False,Documentation
INT0126,STU072,STU071,Collaboration,2025-08-01 09:43:59.393336,47,4.9,True,Hyperparameter Tuning
INT0127,STU008,STU006,Discussion,2025-08-07 08:09:59.393450,23,6.0,False,Data Preprocessing
INT0128,STU022,STU023,Knowledge Sharing,2025-08-12 21:40:59.393560,63,5.4,False,Model Selection
INT0129,STU070,STU071,Conflict Resolution,2025-08-21 04:34:59.393677,65,9.5,True,Hyperparameter Tuning
INT0130,STU003,STU039,Planning Session,2025-08-02 10:34:59.393692,69,8.3,False,Hyperparameter Tuning
INT0131,STU046,STU048,Help Request,2025-07-25 10:20:59.393802,29,7.0,True,Project Planning
INT0132,STU002,STU001,Discussion,2025-08-20 15:06:59.393914,72,9.2,True,Hyperparameter Tuning
INT0133,STU052,STU057,Help Request,2025-08-07 03:20:59.393928,114,7.1,True,Feature Engineering
INT0134,STU038,STU039,Conflict Resolution,2025-08-05 14:19:59.394037,101,5.7,False,Hyperparameter Tuning
INT0135,STU018,STU020,Collaboration,2025-08-16 08:33:59.394148,90,9.3,True,Project Planning
INT0136,STU007,STU008,Knowledge Sharing,2025-07-29 17:48:59.394340,104,7.8,False,Project Planning
INT0137,STU050,STU051,Planning Session,2025-08-17 02:49:59.394464,105,5.4,True,Documentation
INT0138,STU072,STU053,Knowledge Sharing,2025-08-06 18:00:59.394479,64,6.7,True,Results Interpretation
INT0139,STU012,STU010,Discussion,2025-08-06 10:15:59.394605,39,5.7,True,Results Interpretation
INT0140,STU077,STU080,Help Request,2025-07-29 15:22:59.394719,100,4.9,True,Documentation
INT0141,STU043,STU041,Help Request,2025-07-26 03:21:59.394828,30,8.4,False,Hyperparameter Tuning
INT0142,STU028,STU025,Conflict Resolution,2025-07-31 00:44:59.394937,74,9.9,False,Results Interpretation
INT0143,STU068,STU066,Discussion,2025-07-29 10:38:59.395050,112,4.9,False,Hyperparameter Tuning
INT0144,STU053,STU055,Help Request,2025-08-01 06:07:59.395161,48,7.8,False,Results Interpretation
INT0145,STU042,STU044,Help Request,2025-08-08 16:27:59.395271,102,6.0,False,Results Interpretation
INT0146,STU063,STU059,Meeting,2025-07-31 22:58:59.395286,32,6.3,False,Feature Engineering
INT0147,STU070,STU008,Code Review,2025-07-29 07:16:59.395298,100,6.1,True,Data Preprocessing
INT0148,STU029,STU031,Meeting,2025-08-24 03:36:59.395461,73,5.7,False,Data Preprocessing
INT0149,STU080,STU079,Planning Session,2025-08-24 09:34:59.395700,85,7.1,False,Data Preprocessing
INT0150,STU035,STU033,Knowledge Sharing,2025-07-30 05:02:59.395821,27,5.8,True,Hyperparameter Tuning
INT0151,STU067,STU066,Collaboration,2025-07-29 22:03:59.395945,62,7.4,False,Documentation
INT0152,STU031,STU032,Discussion,2025-08-03 13:20:59.396058,19,6.9,True,Project Planning
INT0153,STU072,STU069,Code Review,2025-08-02 05:03:59.396176,78,6.6,False,Code Debugging
INT0154,STU013,STU016,Help Request,2025-07-26 11:12:59.396287,87,5.6,False,Results Interpretation
INT0155,STU011,STU012,Code Review,2025-08-19 00:07:59.396395,41,6.1,True,Project Planning
INT0156,STU039,STU021,Help Request,2025-08-05 21:25:59.396411,84,8.1,False,Project Planning
INT0157,STU018,STU011,Conflict Resolution,2025-08-23 06:41:59.396423,44,7.8,True,Code Debugging
INT0158,STU080,STU078,Code Review,2025-08-04 01:18:59.396537,72,5.5,False,Hyperparameter Tuning
INT0159,STU052,STU049,Knowledge Sharing,2025-08-21 14:50:59.396651,117,7.1,True,Model Selection
INT0160,STU020,STU019,Meeting,2025-07-31 21:48:59.396759,61,8.1,True,Model Selection
INT0161,STU040,STU038,Collaboration,2025-08-21 06:03:59.396865,38,4.5,False,Documentation
INT0162,STU068,STU065,Code Review,2025-08-21 22:33:59.396977,26,7.8,False,Project Planning
INT0163,STU056,STU053,Help Request,2025-08-05 17:58:59.397084,102,6.0,False,Feature Engineering
INT0164,STU039,STU038,Meeting,2025-08-22 04:41:59.397192,50,7.9,False,Results Interpretation
INT0165,STU011,STU010,Help Request,2025-07-31 13:37:59.397361,91,5.9,True,Documentation
INT0166,STU037,STU038,Conflict Resolution,2025-07-28 14:44:59.397479,117,4.3,False,Documentation
INT0167,STU078,STU080,Conflict Resolution,2025-08-04 11:56:59.397589,76,4.6,False,Feature Engineering
INT0168,STU041,STU038,Planning Session,2025-07-24 15:18:59.397603,46,7.1,False,Project Planning
INT0169,STU051,STU049,Help Request,2025-08-05 16:57:59.397718,102,7.4,True,Documentation
INT0170,STU027,STU057,Collaboration,2025-07-28 12:04:59.397731,119,5.6,False,Documentation
INT0171,STU038,STU040,Meeting,2025-08-01 20:18:59.397838,63,8.0,True,Documentation
INT0172,STU062,STU075,Knowledge Sharing,2025-08-06 17:09:59.397851,103,4.5,False,Presentation Prep
INT0173,STU045,STU048,Help Request,2025-08-02 12:46:59.397962,36,6.9,True,Project Planning
INT0174,STU043,STU056,Discussion,2025-08-24 06:52:59.397977,43,5.2,True,Documentation
INT0175,STU058,STU060,Code Review,2025-08-09 06:50:59.398095,68,6.0,True,Model Selection
INT0176,STU019,STU045,Collaboration,2025-08-13 19:18:59.398109,41,7.1,False,Code Debugging
INT0177,STU060,STU058,Discussion,2025-08-15 08:17:59.398238,105,5.7,True,Data Preprocessing
INT0178,STU014,STU022,Help Request,2025-08-08 04:33:59.398251,35,6.4,False,Presentation Prep
INT0179,STU058,STU060,Meeting,2025-08-18 13:26:59.398363,70,8.5,False,Data Preprocessing
INT0180,STU026,STU058,Knowledge Sharing,2025-08-12 09:23:59.398378,42,6.1,True,Results Interpretation
INT0181,STU009,STU074,Discussion,2025-07-29 16:57:59.398389,61,8.3,False,Hyperparameter Tuning
INT0182,STU036,STU035,Conflict Resolution,2025-08-04 21:29:59.398497,65,5.3,True,Code Debugging
INT0183,STU058,STU059,Collaboration,2025-07-25 14:31:59.398609,25,7.8,True,Code Debugging
INT0184,STU037,STU040,Conflict Resolution,2025-08-02 05:36:59.398717,64,9.2,False,Feature Engineering
INT0185,STU054,STU056,Meeting,2025-08-07 04:37:59.398825,51,3.3,True,Feature Engineering
INT0186,STU057,STU058,Code Review,2025-08-09 05:56:59.398934,119,5.8,False,Presentation Prep
INT0187,STU064,STU063,Planning Session,2025-08-10 11:15:59.399039,71,7.9,False,Feature Engineering
INT0188,STU002,STU004,Code Review,2025-08-16 02:34:59.399146,51,6.7,True,Documentation
INT0189,STU061,STU063,Discussion,2025-08-15 16:16:59.399253,61,7.6,True,Documentation
INT0190,STU053,STU055,Help Request,2025-08-15 08:40:59.399358,48,6.1,False,Model Selection
INT0191,STU014,STU013,Conflict Resolution,2025-07-27 11:29:59.399465,95,7.1,False,Feature Engineering
INT0192,STU026,STU025,Conflict Resolution,2025-08-07 01:30:59.399572,83,6.8,True,Code Debugging
INT0193,STU038,STU074,Collaboration,2025-07-24 17:11:59.399586,101,8.8,True,Feature Engineering
INT0194,STU053,STU008,Collaboration,2025-07-27 14:00:59.399597,104,7.4,True,Hyperparameter Tuning
INT0195,STU042,STU043,Knowledge Sharing,2025-08-09 05:32:59.399710,95,7.5,False,Project Planning
INT0196,STU009,STU010,Collaboration,2025-08-01 22:39:59.399817,77,6.4,False,Data Preprocessing
INT0197,STU012,STU059,Conflict Resolution,2025-07-28 07:18:59.399830,83,6.3,False,Hyperparameter Tuning
INT0198,STU028,STU064,Collaboration,2025-08-14 00:47:59.399841,85,6.4,True,Documentation
INT0199,STU007,STU006,Discussion,2025-08-03 20:07:59.399852,30,7.6,True,Documentation
INT0200,STU054,STU055,Meeting,2025-07-26 13:49:59.399980,35,6.4,False,Model Selection
INT0201,STU033,STU034,Meeting,2025-08-22 21:28:59.400089,54,7.4,True,Project Planning
INT0202,STU013,STU016,Planning Session,2025-08-22 05:31:59.400200,43,10.0,False,Data Preprocessing
INT0203,STU041,STU042,Meeting,2025-08-09 07:54:59.400306,64,8.3,True,Model Selection
INT0204,STU047,STU045,Knowledge Sharing,2025-07-31 05:27:59.400414,101,6.5,True,Model Selection
INT0205,STU002,STU004,Conflict Resolution,2025-08-01 03:28:59.400525,110,8.8,True,Project Planning
INT0206,STU058,STU057,Discussion,2025-08-20 06:31:59.400632,108,6.4,False,Code Debugging
INT0207,STU041,STU018,Help Request,2025-08-15 14:03:59.400646,46,3.9,False,Data Preprocessing
INT0208,STU039,STU027,Help Request,2025-07-31 21:50:59.400657,97,5.5,True,Hyperparameter Tuning
INT0209,STU014,STU016,Discussion,2025-08-08 09:45:59.400768,55,4.2,True,Project Planning
INT0210,STU073,STU054,Conflict Resolution,2025-08-06 12:57:59.400781,112,6.5,False,Model Selection
INT0211,STU009,STU010,Help Request,2025-08-23 08:18:59.400888,65,7.0,False,Presentation Prep
INT0212,STU055,STU052,Discussion,2025-08-03 16:34:59.400903,93,9.5,True,Results Interpretation
INT0213,STU010,STU009,Conflict Resolution,2025-08-11 15:28:59.401011,112,7.5,True,Results Interpretation
INT0214,STU029,STU032,Discussion,2025-07-25 21:01:59.401122,73,6.7,True,Results Interpretation
INT0215,STU021,STU024,Meeting,2025-08-02 09:58:59.401231,78,8.2,False,Presentation Prep
INT0216,STU034,STU036,Meeting,2025-08-01 01:22:59.401337,30,3.7,True,Code Debugging
INT0217,STU035,STU068,Discussion,2025-08-15 11:32:59.401350,95,7.4,True,Documentation
INT0218,STU045,STU046,Meeting,2025-08-13 04:52:59.401461,113,8.2,True,Model Selection
INT0219,STU065,STU068,Code Review,2025-08-17 08:38:59.401568,61,4.8,False,Feature Engineering
INT0220,STU008,STU005,Conflict Resolution,2025-08-16 20:10:59.401676,107,8.7,False,Results Interpretation
INT0221,STU074,STU048,Discussion,2025-08-07 12:11:59.401689,21,7.5,True,Hyperparameter Tuning
INT0222,STU006,STU052,Discussion,2025-07-26 19:13:59.401700,51,6.4,False,Code Debugging
INT0223,STU057,STU058,Help Request,2025-08-14 15:18:59.401809,53,7.9,True,Documentation
INT0224,STU062,STU063,Help Request,2025-08-20 09:09:59.401921,67,10.0,True,Hyperparameter Tuning
INT0225,STU003,STU001,Knowledge Sharing,2025-07-27 10:22:59.402027,54,7.3,True,Hyperparameter Tuning
INT0226,STU032,STU030,Code Review,2025-08-19 11:51:59.402239,26,7.4,True,Hyperparameter Tuning
INT0227,STU067,STU053,Conflict Resolution,2025-08-09 11:03:59.402329,89,6.3,True,Presentation Prep
INT0228,STU049,STU051,Code Review,2025-08-10 13:00:59.402688,45,5.7,False,Results Interpretation
INT0229,STU051,STU042,Conflict Resolution,2025-08-10 01:54:59.402716,24,8.2,True,Feature Engineering
INT0230,STU075,STU014,Meeting,2025-08-21 04:40:59.402731,74,5.7,False,Project Planning
INT0231,STU046,STU048,Collaboration,2025-08-10 01:14:59.403116,30,7.1,True,Feature Engineering
INT0232,STU039,STU078,Code Review,2025-08-17 23:59:59.403141,26,6.3,True,Code Debugging
INT0233,STU007,STU006,Meeting,2025-08-23 21:14:59.403307,72,7.7,True,Model Selection
INT0234,STU017,STU020,Code Review,2025-07-29 03:00:59.403445,40,7.5,False,Code Debugging
INT0235,STU011,STU009,Code Review,2025-08-22 03:11:59.403570,97,8.6,False,Feature Engineering
INT0236,STU041,STU044,Planning Session,2025-08-23 04:09:59.403689,88,6.2,False,Project Planning
INT0237,STU052,STU049,Conflict Resolution,2025-08-18 04:51:59.403809,50,6.6,False,Feature Engineering
INT0238,STU078,STU079,Collaboration,2025-08-08 20:12:59.403925,85,5.5,False,Data Preprocessing
INT0239,STU050,STU052,Help Request,2025-08-03 17:53:59.404036,95,6.3,True,Project Planning
INT0240,STU046,STU062,Planning Session,2025-08-12 15:36:59.404051,56,7.6,False,Results Interpretation
INT0241,STU042,STU041,Collaboration,2025-08-22 18:35:59.404168,60,8.1,True,Feature Engineering
INT0242,STU031,STU032,Code Review,2025-07-31 02:32:59.404280,117,5.6,False,Code Debugging
INT0243,STU023,STU031,Conflict Resolution,2025-07-29 10:24:59.404294,60,8.3,True,Code Debugging
INT0244,STU073,STU019,Help Request,2025-07-28 18:34:59.404306,54,9.0,True,Documentation
INT0245,STU006,STU007,Help Request,2025-08-23 17:38:59.404421,15,7.6,False,Hyperparameter Tuning
INT0246,STU044,STU023,Conflict Resolution,2025-08-23 09:59:59.404433,90,9.8,True,Model Selection
INT0247,STU047,STU010,Conflict Resolution,2025-08-01 12:43:59.404444,90,5.8,True,Code Debugging
INT0248,STU018,STU019,Knowledge Sharing,2025-07-29 13:37:59.404564,98,5.1,False,Feature Engineering
