reinforcement_id,student_id,group_id,reinforcement_type,timestamp,engagement_before,engagement_after,motivation_boost,student_response,continued_engagement,message_content
MOT0001,STU064,GRP014,Team Contribution Highlight,2025-08-15 23:04:15.550924,5.262180686681425,7.369926620366371,-0.21586749406576877,Positive,True,Great work on model implementation!
MOT0002,STU036,GRP013,Achievement Badge,2025-08-12 01:04:15.550967,11.210634365153355,7.6204976216191485,2.1309823199319298,Neutral,True,Great work on model implementation!
MOT0003,STU063,GRP014,Skill Improvement Note,2025-08-15 11:04:15.550977,4.642758283496812,8.99566611077161,2.786072701319733,Neutral,False,Great work on data analysis!
MOT0004,STU078,GRP013,Skill Improvement Note,2025-08-20 05:04:15.550984,6.409578876458028,6.5869422040924785,1.1889628792435711,Neutral,True,Great work on data analysis!
MOT0005,STU058,GRP006,Achievement Badge,2025-08-13 14:04:15.550990,3.1598577125641603,7.75453595877379,1.9567737114503967,Neutral,True,Great work on team collaboration!
MOT0006,STU078,GRP017,Peer Recognition,2025-08-16 00:04:15.550997,6.446363533439729,7.459032534373239,1.7220544928896264,Very Positive,True,Great work on team collaboration!
MOT0007,STU055,GRP006,Peer Recognition,2025-08-19 06:04:15.551005,7.406037270424329,5.808113324993781,1.3710583698230308,Very Positive,True,Great work on team collaboration!
MOT0008,STU048,GRP005,Peer Recognition,2025-08-21 21:04:15.551015,10.153977686343865,6.197980505222371,1.2316649337335468,Very Positive,True,Great work on data analysis!
MOT0009,STU043,GRP007,Skill Improvement Note,2025-08-12 09:04:15.551023,9.412619183077554,9.12501018785241,0.8892826553791509,Neutral,False,Great work on data analysis!
MOT0010,STU050,GRP010,Team Contribution Highlight,2025-08-19 23:04:15.551029,6.809203069433906,7.797465984018212,0.7015425565426661,Positive,True,Great work on team collaboration!
MOT0011,STU078,GRP003,Team Contribution Highlight,2025-08-10 17:04:15.551036,6.388621838760376,7.464040640632165,1.3901991504613997,Negative,True,Great work on documentation!
MOT0012,STU041,GRP011,Progress Celebration,2025-08-20 07:04:15.551042,5.37742522896345,6.268058159706406,1.2669753812861033,Very Positive,False,Great work on documentation!
MOT0013,STU006,GRP009,Skill Improvement Note,2025-08-21 22:04:15.551048,9.07267732726817,7.898643511515355,1.0347249768547637,Very Positive,True,Great work on team collaboration!
MOT0014,STU076,GRP013,Progress Celebration,2025-08-12 04:04:15.551053,7.631128707557748,7.610016464885546,2.7944263399672877,Very Positive,True,Great work on data analysis!
MOT0015,STU060,GRP010,Progress Celebration,2025-08-15 21:04:15.551059,6.494131236057382,8.640596475789796,0.6963164940853817,Very Positive,False,Great work on data analysis!
MOT0016,STU044,GRP001,Achievement Badge,2025-08-14 11:04:15.551065,7.254633880004993,8.130112172332504,1.2547951002726336,Very Positive,False,Great work on documentation!
MOT0017,STU039,GRP009,Peer Recognition,2025-08-17 02:04:15.551071,5.747363358245419,7.03436380121715,1.525882131183722,Negative,True,Great work on team collaboration!
MOT0018,STU064,GRP020,Achievement Badge,2025-08-16 02:04:15.551077,7.443408664544711,7.647404644447042,1.529814343296634,Neutral,True,Great work on documentation!
MOT0019,STU064,GRP004,Peer Recognition,2025-08-11 07:04:15.551083,6.443127982800846,7.918231229886465,1.13964401385822,Very Positive,True,Great work on data analysis!
MOT0020,STU002,GRP005,Achievement Badge,2025-08-17 14:04:15.551089,6.5269588690524625,11.037648548180911,1.54930743904594,Negative,True,Great work on data analysis!
MOT0021,STU025,GRP012,Team Contribution Highlight,2025-08-24 09:04:15.551096,7.467945437646565,8.325628326393716,1.0897465413623524,Very Positive,True,Great work on data analysis!
MOT0022,STU015,GRP002,Peer Recognition,2025-08-22 21:04:15.551103,8.440983819937502,7.45060347548839,2.144043639154041,Neutral,True,Great work on documentation!
MOT0023,STU035,GRP006,Progress Celebration,2025-08-12 01:04:15.551108,5.998689502900326,6.6480329770271505,1.5923169665889545,Negative,True,Great work on team collaboration!
MOT0024,STU019,GRP019,Skill Improvement Note,2025-08-10 21:04:15.551114,4.84299746584684,8.442768270019931,0.34467307512694667,Negative,True,Great work on model implementation!
MOT0025,STU074,GRP016,Goal Achievement,2025-08-14 01:04:15.551120,6.02148795429072,6.08192436417031,3.5593336075221833,Neutral,True,Great work on documentation!
MOT0026,STU029,GRP003,Peer Recognition,2025-08-18 04:04:15.551126,4.019060660575528,7.811776488475685,2.2146434194640108,Very Positive,True,Great work on model implementation!
MOT0027,STU027,GRP003,Achievement Badge,2025-08-13 22:04:15.551132,8.054578862880538,8.821610546607765,1.0462172894228197,Very Positive,True,Great work on model implementation!
MOT0028,STU060,GRP013,Progress Celebration,2025-08-14 02:04:15.551137,8.526633419505503,8.89606930896262,1.4698396941283813,Very Positive,True,Great work on team collaboration!
MOT0029,STU040,GRP015,Goal Achievement,2025-08-21 05:04:15.551143,6.860871136589888,7.435292822861553,0.5722783793335693,Very Positive,False,Great work on model implementation!
MOT0030,STU047,GRP013,Skill Improvement Note,2025-08-11 06:04:15.551149,8.355726463218074,9.374649592321838,0.592712687176063,Positive,True,Great work on model implementation!
MOT0031,STU009,GRP009,Skill Improvement Note,2025-08-20 23:04:15.551155,6.269322252280713,7.627892140249285,1.2738752770077522,Neutral,False,Great work on data analysis!
MOT0032,STU019,GRP015,Achievement Badge,2025-08-22 03:04:15.551161,6.5964423178813725,8.936233753975415,0.7022261532106051,Positive,True,Great work on documentation!
MOT0033,STU024,GRP009,Achievement Badge,2025-08-14 08:04:15.551167,5.23047951273101,9.28394369057157,0.9298842064949615,Negative,True,Great work on data analysis!
MOT0034,STU071,GRP003,Peer Recognition,2025-08-15 07:04:15.551173,4.605446969634401,7.217844069480156,1.0359578118047994,Positive,True,Great work on documentation!
MOT0035,STU066,GRP011,Achievement Badge,2025-08-15 02:04:15.551180,8.832444091588648,8.909791454852085,2.218016493305794,Neutral,True,Great work on data analysis!
MOT0036,STU049,GRP014,Progress Celebration,2025-08-18 05:04:15.551186,7.729960463520179,8.935492405938376,0.7495342987357455,Positive,True,Great work on team collaboration!
MOT0037,STU068,GRP020,Skill Improvement Note,2025-08-13 10:04:15.551191,6.202096766969773,6.612101624371741,1.1316095755703732,Negative,True,Great work on data analysis!
MOT0038,STU032,GRP004,Progress Celebration,2025-08-22 01:04:15.551197,7.526157486402111,7.961499941774696,2.3491846551682363,Very Positive,False,Great work on team collaboration!
MOT0039,STU031,GRP003,Team Contribution Highlight,2025-08-22 08:04:15.551203,4.787876311659171,8.400286020837887,0.3013577585045455,Neutral,True,Great work on documentation!
MOT0040,STU051,GRP013,Achievement Badge,2025-08-19 19:04:15.551208,6.641264703760464,8.688400107067775,1.1283979465406246,Neutral,True,Great work on model implementation!
MOT0041,STU027,GRP012,Goal Achievement,2025-08-18 08:04:15.551214,7.326689906130434,6.648321198200479,-0.030951982557106517,Neutral,True,Great work on data analysis!
MOT0042,STU024,GRP017,Goal Achievement,2025-08-11 05:04:15.551220,7.335544433731704,9.89281228089088,0.5031640478640863,Negative,True,Great work on model implementation!
MOT0043,STU022,GRP011,Goal Achievement,2025-08-23 00:04:15.551226,8.333291270160192,7.852108090579693,0.23144678264553908,Positive,True,Great work on documentation!
MOT0044,STU019,GRP001,Goal Achievement,2025-08-14 09:04:15.551231,4.802742047971757,7.8189417280327795,0.9764301696607172,Negative,True,Great work on model implementation!
MOT0045,STU034,GRP003,Progress Celebration,2025-08-24 07:04:15.551237,4.530630534862642,5.767152862529514,0.6226245376587951,Neutral,False,Great work on data analysis!
MOT0046,STU063,GRP008,Skill Improvement Note,2025-08-22 03:04:15.551243,6.790713512496677,7.792319096876234,0.8990096339999374,Very Positive,False,Great work on team collaboration!
MOT0047,STU030,GRP017,Team Contribution Highlight,2025-08-20 22:04:15.551249,6.802830791437224,9.048032063835224,1.6153012083473184,Positive,True,Great work on data analysis!
MOT0048,STU039,GRP011,Skill Improvement Note,2025-08-14 00:04:15.551254,6.318036992915629,8.913686407992827,0.532119758226964,Neutral,False,Great work on team collaboration!
MOT0049,STU063,GRP009,Peer Recognition,2025-08-14 17:04:15.551260,6.162620690666973,7.558694477279558,0.3104373932457237,Very Positive,False,Great work on team collaboration!
MOT0050,STU043,GRP017,Goal Achievement,2025-08-11 18:04:15.551266,5.870188756573463,5.310048382925636,2.8297424381303626,Negative,True,Great work on data analysis!
MOT0051,STU019,GRP014,Progress Celebration,2025-08-21 11:04:15.551271,5.093879317345531,9.703336957705574,1.330467604575594,Neutral,True,Great work on model implementation!
MOT0052,STU074,GRP014,Peer Recognition,2025-08-20 02:04:15.551277,7.347296198233939,7.213440241978882,1.4663437535693395,Very Positive,True,Great work on documentation!
MOT0053,STU014,GRP009,Goal Achievement,2025-08-12 21:04:15.551283,7.475734459982654,8.597462897273019,1.9198187120594858,Negative,False,Great work on model implementation!
MOT0054,STU034,GRP012,Peer Recognition,2025-08-16 03:04:15.551290,5.947500934941235,7.223568393010374,0.024658939785917156,Negative,False,Great work on team collaboration!
MOT0055,STU040,GRP007,Achievement Badge,2025-08-12 03:04:15.551295,7.284828516765405,9.098854453588132,2.592785343934344,Neutral,False,Great work on data analysis!
MOT0056,STU056,GRP015,Team Contribution Highlight,2025-08-17 02:04:15.551301,6.957758951870762,6.880224272509716,-0.057676914631564324,Neutral,True,Great work on data analysis!
MOT0057,STU064,GRP005,Skill Improvement Note,2025-08-21 07:04:15.551306,8.062500099625026,5.644468119866957,1.0275167378049868,Neutral,True,Great work on model implementation!
MOT0058,STU039,GRP016,Peer Recognition,2025-08-23 02:04:15.551312,6.163539758084531,7.716653834578777,1.3286420800286722,Neutral,True,Great work on data analysis!
MOT0059,STU028,GRP010,Team Contribution Highlight,2025-08-21 20:04:15.551318,6.707221334551362,4.901564085505765,1.3117247278961015,Very Positive,True,Great work on data analysis!
MOT0060,STU056,GRP012,Goal Achievement,2025-08-24 11:04:15.551323,3.155636638832184,8.678661687709194,0.8558998753571103,Very Positive,True,Great work on team collaboration!
MOT0061,STU037,GRP017,Goal Achievement,2025-08-12 12:04:15.551329,3.2644449121649743,6.822954387137549,0.843939728652277,Positive,False,Great work on team collaboration!
MOT0062,STU019,GRP007,Skill Improvement Note,2025-08-12 00:04:15.551334,8.286049426332507,8.035965290100293,1.5755559554804641,Very Positive,True,Great work on data analysis!
MOT0063,STU061,GRP012,Progress Celebration,2025-08-10 21:04:15.551340,8.271832451330901,7.684626854490612,1.9033503688259228,Negative,True,Great work on data analysis!
MOT0064,STU034,GRP010,Team Contribution Highlight,2025-08-17 20:04:15.551345,7.525791670897988,6.256236607716705,2.4783868621038634,Positive,True,Great work on team collaboration!
MOT0065,STU075,GRP005,Goal Achievement,2025-08-20 05:04:15.551351,4.369547329893958,8.900839979373417,0.08634157047549373,Neutral,True,Great work on model implementation!
MOT0066,STU039,GRP010,Achievement Badge,2025-08-18 03:04:15.551358,7.40185518222751,10.034297853780206,1.129617074759831,Negative,True,Great work on documentation!
MOT0067,STU056,GRP004,Progress Celebration,2025-08-13 06:04:15.551364,6.11546653572028,8.53252799918022,1.0364828352299655,Negative,True,Great work on team collaboration!
MOT0068,STU060,GRP012,Skill Improvement Note,2025-08-14 13:04:15.551370,9.227418055614232,8.030630699350434,1.0438643934234193,Negative,False,Great work on documentation!
MOT0069,STU004,GRP018,Achievement Badge,2025-08-15 12:04:15.551375,5.689571708156475,6.680461835792375,0.7977960105940083,Very Positive,True,Great work on team collaboration!
MOT0070,STU032,GRP019,Team Contribution Highlight,2025-08-16 12:04:15.551381,5.973989909512105,7.2148331118017035,0.773459780690317,Positive,True,Great work on team collaboration!
MOT0071,STU007,GRP013,Progress Celebration,2025-08-15 21:04:15.551387,9.648261845528658,6.563885908212612,1.4173060701169398,Very Positive,True,Great work on documentation!
MOT0072,STU007,GRP003,Achievement Badge,2025-08-18 17:04:15.551392,7.388781514641308,8.55612959470048,1.2531143393740225,Very Positive,True,Great work on data analysis!
MOT0073,STU038,GRP019,Skill Improvement Note,2025-08-17 10:04:15.551398,6.1389461422290355,8.341856989487408,1.5132173199825607,Very Positive,True,Great work on data analysis!
MOT0074,STU027,GRP017,Progress Celebration,2025-08-12 12:04:15.551403,6.11156174784873,5.925745713930683,0.9256610221334021,Negative,True,Great work on model implementation!
MOT0075,STU039,GRP010,Goal Achievement,2025-08-24 08:04:15.551409,4.780174754438813,6.999408539920408,1.3265785908135677,Negative,True,Great work on model implementation!
MOT0076,STU015,GRP003,Achievement Badge,2025-08-21 05:04:15.551414,7.038104215994924,9.936543301550888,0.8700748968769489,Very Positive,True,Great work on model implementation!
MOT0077,STU027,GRP004,Skill Improvement Note,2025-08-23 23:04:15.551420,7.661938452912726,8.167152029325404,2.336798136511832,Negative,True,Great work on data analysis!
MOT0078,STU039,GRP013,Skill Improvement Note,2025-08-20 13:04:15.551428,7.364343079393439,6.58982228725642,-0.07843682343298508,Positive,False,Great work on team collaboration!
MOT0079,STU079,GRP015,Goal Achievement,2025-08-11 08:04:15.551434,6.9668925495012575,7.165858802519531,0.5157490032395222,Very Positive,True,Great work on data analysis!
MOT0080,STU024,GRP005,Goal Achievement,2025-08-10 11:04:15.551439,4.5986334432003835,7.993170597104586,2.506166159450692,Positive,True,Great work on model implementation!
MOT0081,STU061,GRP016,Peer Recognition,2025-08-18 07:04:15.551445,5.886991481440938,8.508324373290387,1.218186919825926,Very Positive,False,Great work on documentation!
MOT0082,STU048,GRP009,Skill Improvement Note,2025-08-16 06:04:15.551450,4.565926866344911,8.6817736122125,0.42424636477810296,Very Positive,True,Great work on documentation!
MOT0083,STU019,GRP001,Peer Recognition,2025-08-14 17:04:15.551456,6.5324399458903475,7.3901755019936335,2.0144619476525536,Very Positive,True,Great work on data analysis!
MOT0084,STU075,GRP010,Achievement Badge,2025-08-10 17:04:15.551462,4.91277351129397,8.26904388936235,0.6281620741210393,Negative,True,Great work on team collaboration!
MOT0085,STU018,GRP015,Goal Achievement,2025-08-14 17:04:15.551468,5.733342181506822,3.437759726951877,2.9736788572943267,Neutral,True,Great work on model implementation!
MOT0086,STU046,GRP017,Team Contribution Highlight,2025-08-20 00:04:15.551473,7.325835399239348,6.879183016874203,0.4002754493336049,Neutral,False,Great work on documentation!
MOT0087,STU066,GRP003,Progress Celebration,2025-08-10 12:04:15.551479,5.75652687068099,8.660255441783342,-0.21366794046794046,Positive,True,Great work on team collaboration!
MOT0088,STU059,GRP005,Peer Recognition,2025-08-18 00:04:15.551484,6.287623371058493,9.924770246955209,0.39284293122575664,Negative,True,Great work on documentation!
MOT0089,STU049,GRP016,Team Contribution Highlight,2025-08-20 15:04:15.551490,6.620577558145483,10.443971778309308,1.8057213037526183,Neutral,True,Great work on team collaboration!
MOT0090,STU076,GRP019,Peer Recognition,2025-08-12 00:04:15.551496,6.688885730728183,8.407963745890804,0.9793077319922381,Negative,True,Great work on data analysis!
MOT0091,STU021,GRP008,Achievement Badge,2025-08-22 05:04:15.551501,8.44944692795516,7.320803972519745,-0.26734528698878157,Negative,False,Great work on documentation!
MOT0092,STU042,GRP008,Goal Achievement,2025-08-19 10:04:15.551507,5.91304534408931,6.639918564147956,1.0750447902420566,Very Positive,False,Great work on model implementation!
MOT0093,STU050,GRP014,Achievement Badge,2025-08-23 04:04:15.551513,6.1113739113790535,9.23690783976589,1.8562341813315086,Neutral,True,Great work on data analysis!
MOT0094,STU057,GRP012,Team Contribution Highlight,2025-08-11 00:04:15.551519,6.894898231363095,7.796465506400886,0.45291359291360445,Very Positive,False,Great work on team collaboration!
MOT0095,STU014,GRP015,Skill Improvement Note,2025-08-21 15:04:15.551525,3.2282371435014836,7.93579201367134,1.9357129628589271,Positive,True,Great work on documentation!
MOT0096,STU057,GRP010,Progress Celebration,2025-08-20 04:04:15.551530,6.337499175133116,7.158174812655959,1.67160173217137,Positive,True,Great work on model implementation!
MOT0097,STU012,GRP019,Achievement Badge,2025-08-11 01:04:15.551536,6.375001699063479,9.822893030368753,2.2861826736546274,Very Positive,True,Great work on model implementation!
MOT0098,STU001,GRP012,Skill Improvement Note,2025-08-12 09:04:15.551542,7.9392620855349945,8.709280937051885,0.2678660684388343,Very Positive,True,Great work on documentation!
MOT0099,STU025,GRP007,Team Contribution Highlight,2025-08-14 09:04:15.551547,7.494490553078899,8.25159114917589,1.7851397827129307,Neutral,True,Great work on model implementation!
MOT0100,STU009,GRP015,Skill Improvement Note,2025-08-11 03:04:15.551553,7.238914230219579,8.343315105417679,3.460693175639676,Negative,False,Great work on data analysis!
MOT0101,STU017,GRP017,Peer Recognition,2025-08-22 08:04:15.551559,6.385721495072121,8.923604856995196,0.9232081517887974,Very Positive,True,Great work on data analysis!
MOT0102,STU077,GRP018,Peer Recognition,2025-08-24 00:04:15.551564,7.685962375831508,8.927183868278947,1.5915408617082785,Positive,False,Great work on team collaboration!
MOT0103,STU033,GRP013,Goal Achievement,2025-08-16 20:04:15.551570,9.00387041356475,6.7388687563674985,0.9102232466654223,Very Positive,False,Great work on model implementation!
MOT0104,STU037,GRP003,Team Contribution Highlight,2025-08-12 05:04:15.551576,6.818570129035234,8.856968224181067,1.4435436170359466,Positive,False,Great work on team collaboration!
MOT0105,STU052,GRP020,Achievement Badge,2025-08-12 20:04:15.551581,8.428638554765849,7.005972154840417,0.3875372084091564,Very Positive,True,Great work on team collaboration!
MOT0106,STU004,GRP002,Peer Recognition,2025-08-15 12:04:15.551587,6.962192504804757,7.707383668663565,1.7342909762865761,Neutral,True,Great work on data analysis!
MOT0107,STU018,GRP007,Team Contribution Highlight,2025-08-17 11:04:15.551593,6.458896563700244,7.391976251251851,1.2400499426210212,Very Positive,True,Great work on data analysis!
MOT0108,STU073,GRP020,Goal Achievement,2025-08-23 17:04:15.551599,6.543273342189777,7.434022440182003,1.1374943629412575,Neutral,False,Great work on documentation!
MOT0109,STU077,GRP020,Achievement Badge,2025-08-12 17:04:15.551604,5.894609994519635,8.827998143843288,1.4552168036046396,Negative,False,Great work on team collaboration!
MOT0110,STU006,GRP004,Achievement Badge,2025-08-13 21:04:15.551611,9.885128708253148,7.992845461534154,0.8593140237370707,Positive,True,Great work on documentation!
MOT0111,STU062,GRP010,Progress Celebration,2025-08-24 01:04:15.551617,10.506013062294597,8.296351653257203,2.0920998295142534,Very Positive,True,Great work on model implementation!
MOT0112,STU069,GRP020,Skill Improvement Note,2025-08-24 02:04:15.551623,7.388154474803738,8.547613235157298,1.7285232410819795,Negative,True,Great work on documentation!
MOT0113,STU017,GRP014,Goal Achievement,2025-08-15 09:04:15.551629,4.846873152835903,8.241034857073695,0.24011095691980877,Positive,True,Great work on data analysis!
MOT0114,STU079,GRP012,Peer Recognition,2025-08-20 08:04:15.551635,6.238455745381199,6.929259052124055,1.5859761486789794,Neutral,True,Great work on data analysis!
MOT0115,STU031,GRP008,Achievement Badge,2025-08-11 22:04:15.551640,7.001189371007352,8.377375068918225,1.5298372581992699,Very Positive,True,Great work on data analysis!
MOT0116,STU002,GRP008,Achievement Badge,2025-08-22 20:04:15.551646,5.589761987320402,7.486795812777984,2.036316929003588,Very Positive,True,Great work on model implementation!
MOT0117,STU037,GRP002,Peer Recognition,2025-08-17 00:04:15.551651,8.1017850159416,6.423860281648141,0.07525789398988292,Positive,False,Great work on model implementation!
MOT0118,STU078,GRP013,Skill Improvement Note,2025-08-10 11:04:15.551657,5.409665925192932,9.054249098438701,2.2719072241464273,Very Positive,True,Great work on data analysis!
MOT0119,STU033,GRP018,Progress Celebration,2025-08-13 22:04:15.551663,5.112932179398243,8.168771224483606,2.76754506651207,Neutral,False,Great work on model implementation!
MOT0120,STU057,GRP010,Peer Recognition,2025-08-12 17:04:15.551669,7.1229672158605,9.505803942279712,2.098981256066479,Neutral,False,Great work on model implementation!
MOT0121,STU068,GRP009,Peer Recognition,2025-08-12 22:04:15.551674,5.134701940658134,7.572022291803506,1.3278035826334784,Very Positive,True,Great work on documentation!
MOT0122,STU080,GRP016,Peer Recognition,2025-08-22 19:04:15.551680,6.65620008203201,8.899594744126285,1.626947809820327,Positive,False,Great work on model implementation!
MOT0123,STU040,GRP018,Progress Celebration,2025-08-21 21:04:15.551686,2.095698584332827,6.224591672288729,-0.44990473198083447,Neutral,True,Great work on model implementation!
MOT0124,STU005,GRP008,Goal Achievement,2025-08-15 02:04:15.551691,6.763047860983002,8.088585179361313,1.526579966888575,Negative,False,Great work on data analysis!
